1-gram                                  2-gram                                  3-gram                                  4-gram                                  5-gramsentence                                
1.5220918073150464e+107                 1.0007152731626001e+86                  3.594335064566249e+68                   3.841955762701439e+49                   1.0161466644599868e+32                    1998'in sonunda Netscape'in pazar payı liderliğini Internet Explorer'a kaptırmasıyla sona eren bu süreci başlatan bu etkiler, daha sonra bir Microsoft yöneticisi tarafından "Netscape'in hava desteğinin kesilmesi" olarak değerlendirildi
5.124874101180784e+18                   290717172409493.94                      52839604057.868416                      15897298.763425615                      89506.0388313062                         Netscape kısa süre sonra AOL tarafından 4
1035992887725.4878                      1038246575.3234429                      9219684.484885193                       89541.72401617849                       3374.4445932490153                      2 milyar dolara satın alındı
3.666794957973366e+60                   2.1205606807724642e+49                  1.0176359910371956e+40                  1.342671639655486e+29                   2.3679581703683207e+19                   Pazarın yeni önderi olan Internet Explorer, 2002 yılında, Netscape'in en iyi zamanlarında bile yakalayamadığı %98'lik pazar payına ulaştı
5.021936665058856e+95                   1.8648799765154925e+77                  2.897766578133435e+60                   4.201681633691643e+41                   2.7121167583853684e+27                    Microsoft'un bu sırada ortaya koyduğu davranışlar, tekel yasalarının hiçe sayılması ve işletim sistemi pazarından tekel olma durumunun kötüye kullanıldığı yönündeki eleştirilere destek sağlar nitelikteydi
1.0399496289715157e+35                  1.3753542856023257e+26                  2.670000480627648e+21                   1.334543433813731e+16                   892292515918.3645                         Bu kadar büyük oranda kullanılan Internet Explorer bu savaşı kazanmış oldu
3.344197482128507e+54                   4.6686184318697746e+42                  1.852218885130392e+33                   1.5626688645362043e+25                  1.901431531929407e+17                    Ancak bu noktadan sonra Microsoft'un IE'nin geliştirilmesine yatırım yapmamasıyla, ağ tarayıcılarındaki gelişim durdu
1.1649662930064272e+47                  1.4582758030110866e+37                  1.0092319411377499e+30                  6.881745482413085e+21                   8031790930328.503                         Sonuçta iki tür "kötü durum" güçlendi:   Ağ standartları, tek tarayıcı egemenliği ile geri plana atıldı
4547986354.848445                       1195716.7851835755                      8385.139916173854                       518.5338124395215                       60.055099177131176                       Internet Explorer 6
1.3516897669661269e+45                  1.7787093932257532e+36                  5.219831051637177e+25                   1.3377561430994858e+17                  7539222522.127008                       0; Geçişli Biçem Sayfası, PNG görüntü biçimi ve XHTML gibi biçimleri düzgün olarak gösteremiyor
